"shapeid","x","y"
"0.0","290021.7176661502","90600.60347221975"
"0.0","290029.0","90594.0"
"1.0","290268.75893811183","90030.18406232286"
"1.0","290283.0","90080.0"
"1.0","290307.43255296396","90247.40823327158"
"2.0","290307.43255296396","90247.40823327158"
"2.0","290310.0","90265.0"
"2.0","290316.0","90361.0"
"2.0","290334.0","90442.0"
"2.0","290357.823","90508.939"
"3.0","293383.47611445875","90041.90262839699"
"3.0","293395.09862671257","90030.18406232286"
"4.0","293345.55915779306","90080.13294834089"
"4.0","293383.47611445875","90041.90262839699"
"5.0","292915.8677307295","90624.72953973124"
"5.0","292933.48","90604.99"
"5.0","292961.579","90555.46"
"5.0","292962.33648195124","90553.50132167993"
"6.0","292990.77129019983","90479.97528932412"
"6.0","292994.916","90469.258"
"6.0","293067.783","90362.737"
"6.0","293148.507","90280.822"
"6.0","293206.768","90213.432"
"6.0","293233.439","90172.792"
"6.0","293280.111","90146.122"
"6.0","293345.55915779306","90080.13294834089"
"7.0","292766.596","90713.472"
"7.0","292800.055","90727.329"
"7.0","292809.425188969","90727.88559303379"
"7.1","292962.33648195124","90553.50132167993"
"7.1","292990.77129019983","90479.97528932412"
"8.0","292809.425188969","90727.88559303379"
"8.0","292819.735","90728.498"
"8.0","292828.507","90722.642"
"8.0","292915.8677307295","90624.72953973124"
"9.0","290021.7176661502","93178.16168678932"
"9.0","290097.171","93185.672"
"10.0","290473.85841004096","93843.77560071721"
"10.0","290491.0","93845.0"
"10.0","290536.0","93832.0"
"10.0","290609.6671863261","93826.17022266483"
"11.0","290269.2330633669","93833.53913628438"
"11.0","290315.0","93847.0"
"11.0","290421.0","93840.0"
"11.0","290473.85841004096","93843.77560071721"
"12.0","290107.0","93824.0"
"12.0","290230.0","93822.0"
"12.0","290269.2330633669","93833.53913628438"
"13.0","290609.6671863261","93826.17022266483"
"13.0","290675.0","93821.0"
"13.0","290687.0","93813.0"
"13.0","290694.0","93796.0"
"13.0","290684.0","93778.0"
"13.0","290669.0","93771.0"
"13.0","290615.0","93768.0"
"13.0","290604.0","93757.0"
"13.0","290602.0","93738.0"
"14.0","293308.394974148","93803.35895475127"
"14.0","293554.0","93811.0"
"14.0","293587.619","93807.381"
"15.0","293104.0","93797.0"
"15.0","293308.394974148","93803.35895475127"
"16.0","293631.06439642346","93887.91986907375"
"16.0","293504.573","93886.993"
"17.0","293892.85884713626","93918.64672842354"
"17.0","293838.0","93894.0"
"17.0","293812.0","93890.0"
"17.0","293727.0","93889.0"
"17.0","293681.0","93900.0"
"17.0","293642.0","93888.0"
"17.0","293631.06439642346","93887.91986907375"
"18.0","293907.0","93925.0"
"18.0","293892.85884713626","93918.64672842354"
"19.0","293641.5165369206","93875.9274806609"
"19.0","293504.0","93875.0"
"20.0","293861.77101899893","93869.28012274812"
"20.0","293813.882","93877.09"
"20.0","293641.5165369206","93875.9274806609"
