"shapeid","x","y","best_server"
"71.0","291787.42958958045","91128.97719339823","0"
"71.0","291786.0","91161.0","0"
"71.0","291775.0","91179.0","0"
"71.0","291741.08408694057","91178.61892232517","0"
"72.0","291791.0","91049.0","0"
"72.0","291787.42958958045","91128.97719339823","0"
"72.1","291741.08408694057","91178.61892232517","0"
"72.1","291686.0","91178.0","0"
"72.1","291638.0","91158.0","0"
"72.1","291586.0","91155.0","0"
"72.1","291571.32929366047","91153.77738799057","0"
"73.0","291571.32929366047","91153.77738799057","0"
"73.0","291562.997","91153.083","0"
"111.0","291958.0","91574.0","5"
"111.0","291958.0","91533.72610294912","5"
"112.0","291974.0625506392","91337.60058678524","18"
"112.0","291976.50207","91333.60126","18"
"112.0","291982.061","91324.488","18"
"113.0","291958.0","91455.10074939397","18"
"113.0","291958.0","91452.0","18"
"113.0","291941.30918","91412.54898","18"
"113.0","291939.8359","91409.06667","18"
"113.0","291936.0","91400.0","18"
"113.0","291946.52885","91382.7391","18"
"113.0","291947.07118","91381.85","18"
"113.0","291947.4","91381.31094","18"
"113.0","291974.0625506392","91337.60058678524","18"
"114.0","291958.0","91533.72610294912","5"
"114.0","291958.0","91455.10074939397","18"
"115.0","291958.0","91574.0","5"
"388.0","291792.0","91749.0","10"
"388.0","291817.593","91743.326","10"
"388.0","291805.2493561229","91685.61761959332","8"
"389.0","291805.2493561229","91685.61761959332","8"
"389.0","291796.02","91642.469","8"
"390.0","291612.73348510714","91581.77779662999","17"
"390.0","291609.0","91571.0","17"
"391.0","291662.0","91724.0","17"
"391.0","291612.73348510714","91581.77779662999","17"
"392.0","291784.11757231667","91712.12149905301","10"
"392.0","291792.0","91749.0","10"
"393.0","291764.0","91618.0","17"
"393.0","291784.11757231667","91712.12149905301","10"
"394.0","291792.0","91749.0","10"
"394.0","291760.44","91746.459","10"
"394.0","291760.06961468153","91742.2828984057","10"
"395.0","291760.06961468153","91742.2828984057","10"
"395.0","291755.244","91687.874","17"
"395.0","291739.409","91629.895","17"
"396.0","291905.1158601695","91715.7153940371","8"
"396.0","291909.786","91737.023","8"
"397.0","291884.674","91622.449","8"
"397.0","291905.1158601695","91715.7153940371","8"
"398.0","291660.3315163988","91445.65987878788","1"
"398.0","291576.625","91471.844","1"
"399.0","291711.95272459835","91449.92589457061","1"
"399.0","291704.0","91432.0","1"
"399.0","291660.3315163988","91445.65987878788","1"
"400.0","291718.666","91465.058","1"
"400.0","291711.95272459835","91449.92589457061","1"
"401.0","291873.11358723894","91709.73558850319","8"
"401.0","291876.6013813505","91726.2248291676","8"
"402.0","291876.6013813505","91726.2248291676","8"
"402.0","291881.658","91750.131","8"
"403.0","291856.065","91629.135","8"
"403.0","291873.11358723894","91709.73558850319","8"
"404.0","291994.0","91948.0","9"
"404.0","291972.0","91959.0","9"
"405.0","291739.409","91629.895","17"
"405.0","291696.036","91681.267","17"
"405.0","291679.668","91701.165","17"
"405.0","291662.0","91724.0","17"
"480.0","291645.36705823446","91016.72574567469","1"
"480.0","291644.0","91027.0","1"
"481.0","291645.36705823446","91016.72574567469","1"
"482.0","291921.629","91203.223",""
"482.0","291942.3655313772","91175.88683912283",""
"483.0","291942.3655313772","91175.88683912283",""
"484.0","291807.94406545075","91046.17598909154","0"
"484.0","291791.0","91049.0","0"
"485.0","291931.54160687793","91041.84720229264","0"
"485.0","291899.0","91031.0","0"
"485.0","291807.94406545075","91046.17598909154","0"
"486.0","291931.54160687793","91041.84720229264","0"
"491.0","291683.0","91272.0","13"
"491.0","291723.0","91243.0","13"
"491.0","291764.0","91225.0","13"
"491.0","291795.0","91228.0","13"
"491.0","291825.0","91244.0","13"
"491.0","291854.0","91240.0","13"
"491.0","291853.0","91222.0","13"
"755.0","291256.313","91979.364","15"
"755.0","291276.07056834194","91991.7066802491","15"
"756.0","291276.07056834194","91991.7066802491","15"
"811.0","291362.0","91651.0","3"
"811.0","291325.6861952553","91537.93201704488","3"
"812.0","291325.6861952553","91537.93201704488","3"
"812.0","291318.0","91514.0","6"
"813.0","291560.0","91422.0","1"
"813.0","291558.36615153536","91416.22706875823","1"
"814.0","291558.36615153536","91416.22706875823","1"
"814.0","291530.0","91316.0","1"
"815.0","291460.07887069596","91406.92420830672","20"
"815.0","291478.0","91463.0","20"
"816.0","291416.0","91269.0","6"
"816.0","291460.07887069596","91406.92420830672","20"
"817.0","291553.8482202985","91788.6984120476","11"
"817.0","291549.0","91795.0","11"
"817.0","291515.0123112931","91828.03476285533","11"
"818.0","291570.186","91767.463","11"
"818.0","291553.8482202985","91788.6984120476","11"
"819.0","291515.0123112931","91828.03476285533","11"
"819.0","291442.0","91899.0","11"
"820.0","291386.76223689545","91454.18961936244","20"
"820.0","291388.0","91458.0","20"
"821.0","291337.0","91301.0","6"
"821.0","291365.499","91388.732","6"
"821.0","291386.76223689545","91454.18961936244","20"
"822.0","291216.8731472831","91841.02213725472","15"
"822.0","291224.8017716656","91846.4521615697","15"
"823.0","291152.079","91796.647","16"
"823.0","291216.8731472831","91841.02213725472","15"
"824.0","291224.8017716656","91846.4521615697","15"
"824.0","291241.729","91858.045","15"
